condition_key,graph_id,evidence_level,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,rho_sensitivity,beta_sensitivity,cross_axis_js,diagnostic_score
RG061_high,RG061,high,4,2,D3-2:strong-remote,1,2,0,2,0.001887,0.014675,0.015564,0.017451
RG061_medium,RG061,medium,4,2,D3-2:strong-remote,1,2,0,2,0.000501,0.002078,0.002435,0.002936
RG061_low,RG061,low,4,2,D3-2:strong-remote,1,2,0,2,1.5e-05,7.1e-05,8.2e-05,9.7e-05
RG062_high,RG062,high,4,3,D3-1:tree-like-remote,1,1,0,2,0.001296,0.008395,0.009387,0.010683
RG062_medium,RG062,medium,4,3,D3-1:tree-like-remote,1,1,0,2,0.000292,0.001384,0.001604,0.001896
RG062_low,RG062,low,4,3,D3-1:tree-like-remote,1,1,0,2,6e-06,4e-05,4.5e-05,5.1e-05
RG063_high,RG063,high,4,3,D3-2:strong-remote,1,2,0,2,0.001687,0.009646,0.010983,0.01267
RG063_medium,RG063,medium,4,3,D3-2:strong-remote,1,2,0,2,0.000549,0.002101,0.002576,0.003125
RG063_low,RG063,low,4,3,D3-2:strong-remote,1,2,0,2,2.3e-05,8.7e-05,0.00011,0.000133
RG064_high,RG064,high,4,2,D3-1:tree-like-remote,1,1,0,2,0.001902,0.011263,0.012735,0.014638
RG064_medium,RG064,medium,4,2,D3-1:tree-like-remote,1,1,0,2,0.000224,0.000875,0.001057,0.001281
RG064_low,RG064,low,4,2,D3-1:tree-like-remote,1,1,0,2,4e-06,2e-05,2.3e-05,2.7e-05
RG065_high,RG065,high,4,2,D3-2:strong-remote,1,2,0,2,0.002262,0.013035,0.014666,0.016928
RG065_medium,RG065,medium,4,2,D3-2:strong-remote,1,2,0,2,0.000264,0.001178,0.001324,0.001588
RG065_low,RG065,low,4,2,D3-2:strong-remote,1,2,0,2,4e-06,2.9e-05,2.9e-05,3.3e-05
RG066_high,RG066,high,4,2,D3-2:strong-remote,1,3,0,2,0.002758,0.013526,0.015577,0.018335
