graph_id,evidence_level,family,p_R,p_G,p_B
RG017,low,"M_rho,beta",0.322206,0.355588,0.322206
RG017,low,M_star,0.346831,0.306338,0.346831
RG017,low,M_cluster,0.303415,0.393169,0.303415
RG018,high,M_exact,0.265471,0.469058,0.265471
RG018,high,M_0,0.098391,0.803217,0.098391
RG018,high,M_rho,0.160435,0.679129,0.160435
RG018,high,"M_rho,beta",0.163018,0.673963,0.163018
RG018,high,M_star,0.026872,0.946257,0.026872
RG018,high,M_cluster,0.265471,0.469058,0.265471
RG018,medium,M_exact,0.302765,0.39447,0.302765
RG018,medium,M_0,0.252817,0.494367,0.252817
RG018,medium,M_rho,0.283412,0.433176,0.283412
RG018,medium,"M_rho,beta",0.281171,0.437658,0.281171
RG018,medium,M_star,0.186535,0.626929,0.186535
RG018,medium,M_cluster,0.302765,0.39447,0.302765
RG018,low,M_exact,0.325246,0.349507,0.325246
RG018,low,M_0,0.316292,0.367417,0.316292
RG018,low,M_rho,0.322307,0.355385,0.322307
RG018,low,"M_rho,beta",0.322168,0.355663,0.322168
RG018,low,M_star,0.301642,0.396717,0.301642
RG018,low,M_cluster,0.325246,0.349507,0.325246
RG019,high,M_exact,0.025018,0.069355,0.905626
RG019,high,M_0,0.098391,0.098391,0.803217
RG019,high,M_rho,0.046694,0.069313,0.883993
RG019,high,"M_rho,beta",0.104989,0.114696,0.780315
RG019,high,M_star,0.0742,0.32007,0.60573
RG019,high,M_cluster,0.025018,0.069355,0.905626
RG019,medium,M_exact,0.155666,0.245196,0.599138
RG019,medium,M_0,0.252817,0.252817,0.494367
RG019,medium,M_rho,0.205299,0.226237,0.568464
RG019,medium,"M_rho,beta",0.240485,0.243331,0.516184
RG019,medium,M_star,0.213941,0.367712,0.418347
RG019,medium,M_cluster,0.155666,0.245196,0.599138
RG019,low,M_exact,0.306513,0.317383,0.376104
RG019,low,M_0,0.316292,0.316292,0.367417
RG019,low,M_rho,0.314959,0.309017,0.376025
RG019,low,"M_rho,beta",0.318587,0.31296,0.368453
RG019,low,M_star,0.303598,0.343729,0.352672
RG019,low,M_cluster,0.306513,0.317383,0.376104
RG020,high,M_exact,0.29806,0.601243,0.100697
RG020,high,M_0,0.098391,0.803217,0.098391
RG020,high,M_rho,0.16645,0.734373,0.099177
RG020,high,"M_rho,beta",0.165253,0.700677,0.13407
RG020,high,M_star,0.026872,0.946257,0.026872
RG020,high,M_cluster,0.29806,0.601243,0.100697
RG020,medium,M_exact,0.313917,0.420847,0.265237
RG020,medium,M_0,0.252817,0.494367,0.252817
