graph_id,evidence_level,selected_in_analysis_3,n_nodes,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,mean_js_all_pairs,min_js_all_pairs,mean_tv_all_pairs,exact_vs_rho_js,rho_vs_star_js,star_vs_cluster_js,exact_vs_star_js,cluster_vs_exact_js,M0_vs_nonlocal_mean_js
RG038,low,False,6,5,4,D3-0:no-remote,0,0,0,1,1.9e-05,0.0,0.004845,6e-06,1.3e-05,3.5e-05,3.5e-05,0.0,2.6e-05
RG039,high,False,6,5,3,D3-0:no-remote,0,0,0,1,0.04053,0.0,0.210011,0.041617,0.013161,0.095869,0.095869,0.0,0.043625
RG039,medium,False,6,5,3,D3-0:no-remote,0,0,0,1,0.00289,0.0,0.059751,0.001648,0.002057,0.007114,0.007114,0.0,0.003586
RG039,low,False,6,5,3,D3-0:no-remote,0,0,0,1,2.6e-05,0.0,0.005742,1.2e-05,1.9e-05,6e-05,6e-05,0.0,3.4e-05
RG040,high,False,6,5,2,D3-0:no-remote,0,0,0,1,0.029607,0.0,0.196905,0.023108,0.01477,0.073245,0.073245,0.0,0.036299
RG040,medium,False,6,5,2,D3-0:no-remote,0,0,0,1,0.00125,0.0,0.041657,0.000467,0.00108,0.002967,0.002967,0.0,0.001738
RG040,low,False,6,5,2,D3-0:no-remote,0,0,0,1,1.3e-05,0.0,0.00407,3e-06,8e-06,2.1e-05,2.1e-05,0.0,1.7e-05
RG041,high,False,6,4,3,D3-1:tree-like-remote,1,1,0,2,0.090818,0.0,0.334315,0.008343,0.208583,0.284596,0.284596,0.0,0.065683
RG041,medium,False,6,4,3,D3-1:tree-like-remote,1,1,0,2,0.016569,0.0,0.152568,0.00213,0.035311,0.053627,0.053627,0.0,0.012224
RG041,low,False,6,4,3,D3-1:tree-like-remote,1,1,0,2,0.000462,0.0,0.023926,4.4e-05,0.001129,0.001603,0.001603,0.0,0.000274
RG042,high,False,6,4,3,D3-2:strong-remote,1,2,0,2,0.079067,0.004116,0.315355,0.007959,0.223713,0.133881,0.300442,0.04251,0.053108
RG042,medium,False,6,4,3,D3-2:strong-remote,1,2,0,2,0.015804,0.000934,0.149281,0.000934,0.044116,0.032087,0.057458,0.005169,0.011663
RG042,low,False,6,4,3,D3-2:strong-remote,1,2,0,2,0.000545,4e-06,0.026125,4e-06,0.001598,0.001605,0.001759,6.5e-05,0.000353
RG043,high,False,6,4,3,D3-2:strong-remote,1,3,0,2,0.080256,0.000779,0.317634,0.006767,0.233123,0.097055,0.303775,0.06941,0.052354
RG043,medium,False,6,4,3,D3-2:strong-remote,1,3,0,2,0.016661,0.000311,0.15547,0.000311,0.051539,0.018078,0.059506,0.012485,0.011985
RG043,low,False,6,4,3,D3-2:strong-remote,1,3,0,2,0.000576,5e-06,0.026889,5e-06,0.002045,0.001075,0.001856,0.000126,0.000383
RG044,high,False,6,4,2,D3-1:tree-like-remote,1,1,0,2,0.062504,0.0,0.280341,0.004377,0.155361,0.206152,0.206152,0.0,0.040013
RG044,medium,False,6,4,2,D3-1:tree-like-remote,1,1,0,2,0.014125,0.0,0.13967,0.002085,0.029526,0.046907,0.046907,0.0,0.009921
