graph_id,evidence_level,agent,agent_rho,p_R,p_G,p_B,entropy,kl_to_A0,kl_to_A4,preferred_color_template,is_tree,edge_count
G10,low,A3,0.75,0.349555,0.324356,0.326089,1.098023,0.00059,1e-06,0-1-2-0,False,5
G10,low,A4,1.0,0.350375,0.323969,0.325656,1.097962,0.00065,0.0,0-1-2-0,False,5
G11,high,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.694129,0-2-1-1,False,6
G11,high,A1,0.25,0.1708,0.603055,0.226146,0.943024,0.155588,0.186068,0-2-1-1,False,6
G11,high,A2,0.5,0.098433,0.764627,0.13694,0.705671,0.392941,0.028428,0-2-1-1,False,6
G11,high,A3,0.75,0.076528,0.82912,0.094352,0.574792,0.52382,0.002357,0-2-1-1,False,6
G11,high,A4,1.0,0.069909,0.852652,0.077439,0.520024,0.578589,0.0,0-2-1-1,False,6
G11,medium,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.085502,0-2-1-1,False,6
G11,medium,A1,0.25,0.269882,0.443305,0.286814,1.072319,0.026293,0.01837,0-2-1-1,False,6
G11,medium,A2,0.5,0.241455,0.504343,0.254202,1.036509,0.062104,0.00244,0-2-1-1,False,6
G11,medium,A3,0.75,0.231893,0.529298,0.238809,1.017644,0.080968,0.000186,0-2-1-1,False,6
G11,medium,A4,1.0,0.2287,0.538686,0.232614,1.009893,0.08872,0.0,0-2-1-1,False,6
G11,low,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.002914,0-2-1-1,False,6
G11,low,A1,0.25,0.322496,0.353633,0.323872,1.097693,0.00092,0.000572,0-2-1-1,False,6
G11,low,A2,0.5,0.317309,0.364062,0.318629,1.096517,0.002095,7.4e-05,0-2-1-1,False,6
G11,low,A3,0.75,0.315328,0.368303,0.316369,1.095904,0.002708,6e-06,0-2-1-1,False,6
G11,low,A4,1.0,0.314602,0.369912,0.315486,1.095652,0.00296,0.0,0-2-1-1,False,6
G12,high,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.514002,0-2-1-1,False,5
G12,high,A1,0.25,0.222473,0.555054,0.222473,0.995486,0.103126,0.154566,0-2-1-1,False,5
G12,high,A2,0.5,0.148283,0.703435,0.148283,0.813489,0.285123,0.027005,0-2-1-1,False,5
G12,high,A3,0.75,0.113476,0.773048,0.113476,0.692878,0.405734,0.002386,0-2-1-1,False,5
G12,high,A4,1.0,0.099457,0.801086,0.099457,0.636771,0.461842,0.0,0-2-1-1,False,5
G12,medium,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.046974,0-2-1-1,False,5
G12,medium,A1,0.25,0.294461,0.411077,0.294461,1.085458,0.013154,0.010961,0-2-1-1,False,5
G12,medium,A2,0.5,0.271793,0.456413,0.271793,1.066128,0.032484,0.001619,0-2-1-1,False,5
G12,medium,A3,0.75,0.261628,0.476744,0.261628,1.054758,0.043854,0.000131,0-2-1-1,False,5
G12,medium,A4,1.0,0.257587,0.484826,0.257587,1.049778,0.048834,0.0,0-2-1-1,False,5
G12,low,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.001023,0-2-1-1,False,5
G12,low,A1,0.25,0.327556,0.344887,0.327556,1.098314,0.000299,0.000219,0-2-1-1,False,5
G12,low,A2,0.5,0.324449,0.351103,0.324449,1.097908,0.000704,3.1e-05,0-2-1-1,False,5
