graph_id,n_nodes,evidence_level,agent,agent_rho,p_R,p_G,p_B,entropy,kl_to_A0,kl_to_A4,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,preferred_color_template
RG005,5,low,A1,0.25,0.305174,0.348199,0.346627,1.0968,4.5e-05,7.4e-05,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
RG005,5,low,A2,0.5,0.308347,0.346038,0.345615,1.097189,0.000131,1.4e-05,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
RG005,5,low,A3,0.75,0.30986,0.344534,0.345606,1.097356,0.00019,1e-06,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
RG005,5,low,A4,1.0,0.310467,0.34382,0.345713,1.097419,0.000219,0.0,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
RG006,5,high,A0,0.0,0.057714,0.471143,0.471143,0.873772,0.0,0.246141,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG006,5,high,A1,0.25,0.116359,0.44182,0.44182,0.972101,0.024808,0.143415,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG006,5,high,A2,0.5,0.232966,0.383517,0.383517,1.074503,0.167242,0.032267,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG006,5,high,A3,0.75,0.317141,0.341429,0.341429,1.098017,0.320467,0.002439,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG006,5,high,A4,1.0,0.350203,0.324899,0.324899,1.097977,0.389927,0.0,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG006,5,medium,A0,0.0,0.20363,0.398185,0.398185,1.057395,0.0,0.024021,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG006,5,medium,A1,0.25,0.246296,0.376852,0.376852,1.080657,0.005351,0.007246,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG006,5,medium,A2,0.5,0.287198,0.356401,0.356401,1.0937,0.019737,0.000421,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG006,5,medium,A3,0.75,0.298468,0.350766,0.350766,1.095826,0.025169,9e-06,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG006,5,medium,A4,1.0,0.300444,0.349778,0.349778,1.096135,0.026185,0.0,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG006,5,low,A0,0.0,0.300907,0.349546,0.349546,1.096205,0.0,0.000202,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG006,5,low,A1,0.25,0.305687,0.347156,0.347156,1.096867,5.4e-05,4.7e-05,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG006,5,low,A2,0.5,0.309319,0.345341,0.345341,1.097298,0.000167,2e-06,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG006,5,low,A3,0.75,0.310089,0.344955,0.344955,1.097382,0.000199,0.0,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG006,5,low,A4,1.0,0.310171,0.344915,0.344915,1.09739,0.000203,0.0,4,4,D3-0:no-remote,0,0,0,1,0-0-1-2
RG007,5,high,A0,0.0,0.057714,0.471143,0.471143,0.873772,0.0,0.225295,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG007,5,high,A1,0.25,0.12089,0.439555,0.439555,0.978048,0.028376,0.120916,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG007,5,high,A2,0.5,0.209424,0.395288,0.395288,1.061178,0.131136,0.037639,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG007,5,high,A3,0.75,0.287721,0.35614,0.35614,1.093813,0.262899,0.004875,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
