graph_id,evidence_level,variant,js_to_M0,p_R,p_G,p_B
RG031,high,clipped,0.1145251091,0.335325,0.335325,0.329351
RG031,medium,pure,-0.0,0.44218,0.44218,0.115641
RG031,medium,weighted,0.0107967306,0.319682,0.588147,0.092171
RG031,medium,clipped,0.0320577579,0.33918,0.33918,0.32164
RG031,low,pure,0.0,0.364822,0.364822,0.270357
RG031,low,weighted,0.000482698,0.344433,0.394695,0.260872
RG031,low,clipped,0.0020485479,0.335516,0.335516,0.328967
RG032,high,pure,0.0,0.000201,0.890693,0.109107
RG032,high,weighted,0.0078710789,0.0,0.956265,0.043734
RG032,high,clipped,0.1221699067,0.241392,0.512836,0.245772
RG032,medium,pure,0.0,0.043294,0.632995,0.323711
RG032,medium,weighted,0.0103449726,0.006482,0.723435,0.270082
RG032,medium,clipped,0.0723231269,0.304849,0.372725,0.322426
RG032,low,pure,0.0,0.227872,0.414933,0.357195
RG032,low,weighted,0.0035796818,0.162116,0.464869,0.373014
RG032,low,clipped,0.0064339474,0.325921,0.339569,0.33451
RG033,high,pure,0.0,0.098391,0.803217,0.098391
RG033,high,weighted,0.0401421305,0.008834,0.971355,0.019811
RG033,high,clipped,0.1156823394,0.33136,0.33728,0.33136
RG033,medium,pure,0.0,0.252817,0.494367,0.252817
RG033,medium,weighted,0.0152577598,0.14747,0.661668,0.190862
RG033,medium,clipped,0.0118676292,0.328651,0.342698,0.328651
RG033,low,pure,0.0,0.316292,0.367417,0.316292
RG033,low,weighted,0.000787015,0.2892,0.404444,0.306356
RG033,low,clipped,0.0005467154,0.332078,0.335843,0.332078
RG034,high,pure,0.0,0.098391,0.803217,0.098391
RG034,high,weighted,0.0462488214,0.006806,0.97949,0.013704
RG034,high,clipped,0.1156823394,0.33136,0.33728,0.33136
RG034,medium,pure,0.0,0.252817,0.494367,0.252817
RG034,medium,weighted,0.0194742822,0.140054,0.68481,0.175136
RG034,medium,clipped,0.0118676292,0.328651,0.342698,0.328651
RG034,low,pure,0.0,0.316292,0.367417,0.316292
RG034,low,weighted,0.0010033602,0.287618,0.410034,0.302348
RG034,low,clipped,0.0005467154,0.332078,0.335843,0.332078
RG035,high,pure,-0.0,0.098391,0.803217,0.098391
RG035,high,weighted,0.0333136019,0.018721,0.962559,0.018721
RG035,high,clipped,0.1156823394,0.33136,0.33728,0.33136
RG035,medium,pure,0.0,0.252817,0.494367,0.252817
RG035,medium,weighted,0.010488519,0.181168,0.637664,0.181168
RG035,medium,clipped,0.0118676292,0.328651,0.342698,0.328651
RG035,low,pure,-0.0,0.316292,0.367417,0.316292
RG035,low,weighted,0.0005090728,0.300782,0.398435,0.300782
RG035,low,clipped,0.0005467154,0.332078,0.335843,0.332078
RG036,high,pure,0.0,0.098391,0.803217,0.098391
RG036,high,weighted,0.0308177814,0.012537,0.954905,0.032559
RG036,high,clipped,0.1156823394,0.33136,0.33728,0.33136
RG036,medium,pure,0.0,0.252817,0.494367,0.252817
RG036,medium,weighted,0.0104273784,0.157559,0.62873,0.213711
RG036,medium,clipped,0.0118676292,0.328651,0.342698,0.328651
RG036,low,pure,0.0,0.316292,0.367417,0.316292
RG036,low,weighted,0.000548407,0.291306,0.396857,0.311837
RG036,low,clipped,0.0005467154,0.332078,0.335843,0.332078
RG037,high,pure,0.0,0.098391,0.803217,0.098391
RG037,high,weighted,0.058992321,0.004023,0.991954,0.004023
RG037,high,clipped,0.1156823394,0.33136,0.33728,0.33136
RG037,medium,pure,0.0,0.252817,0.494367,0.252817
RG037,medium,weighted,0.0334529214,0.12809,0.743821,0.12809
RG037,medium,clipped,0.0118676292,0.328651,0.342698,0.328651
RG037,low,pure,0.0,0.316292,0.367417,0.316292
RG037,low,weighted,0.0017652586,0.287236,0.425527,0.287236
RG037,low,clipped,0.0005467154,0.332078,0.335843,0.332078
RG038,high,pure,0.0,0.098391,0.803217,0.098391
RG038,high,weighted,0.0401421305,0.008834,0.971355,0.019811
RG038,high,clipped,0.1156823394,0.33136,0.33728,0.33136
RG038,medium,pure,0.0,0.252817,0.494367,0.252817
RG038,medium,weighted,0.0152577598,0.14747,0.661668,0.190862
RG038,medium,clipped,0.0118676292,0.328651,0.342698,0.328651
RG038,low,pure,0.0,0.316292,0.367417,0.316292
RG038,low,weighted,0.000787015,0.2892,0.404444,0.306356
RG038,low,clipped,0.0005467154,0.332078,0.335843,0.332078
RG039,high,pure,0.0,0.098391,0.803217,0.098391
RG039,high,weighted,0.0308177814,0.012537,0.954905,0.032559
RG039,high,clipped,0.1156823394,0.33136,0.33728,0.33136
RG039,medium,pure,0.0,0.252817,0.494367,0.252817
RG039,medium,weighted,0.0104273784,0.157559,0.62873,0.213711
RG039,medium,clipped,0.0118676292,0.328651,0.342698,0.328651
RG039,low,pure,0.0,0.316292,0.367417,0.316292
RG039,low,weighted,0.000548407,0.291306,0.396857,0.311837
RG039,low,clipped,0.0005467154,0.332078,0.335843,0.332078
RG040,high,pure,0.0,0.098391,0.098391,0.803217
RG040,high,weighted,0.0522953519,0.006853,0.006853,0.986293
RG040,high,clipped,0.1156823394,0.33136,0.33136,0.33728
RG040,medium,pure,-0.0,0.252817,0.252817,0.494367
RG040,medium,weighted,0.0244288052,0.145146,0.145146,0.709709
RG040,medium,clipped,0.0118676292,0.328651,0.328651,0.342698
RG040,low,pure,-0.0,0.316292,0.316292,0.367417
RG040,low,weighted,0.0012471222,0.291918,0.291918,0.416164
RG040,low,clipped,0.0005467154,0.332078,0.332078,0.335843
RG041,high,pure,0.0,0.471143,0.471143,0.057714
RG041,high,weighted,0.0164067934,0.296227,0.635647,0.068126
RG041,high,clipped,0.0640051775,0.3355,0.3355,0.329
RG041,medium,pure,0.0,0.398185,0.398185,0.20363
RG041,medium,weighted,0.0015674522,0.344646,0.439826,0.215528
RG041,medium,clipped,0.0087259941,0.340316,0.340316,0.319367
RG041,low,pure,0.0,0.349546,0.349546,0.300907
RG041,low,weighted,7.25958e-05,0.338246,0.357187,0.304567
RG041,low,clipped,0.0004416434,0.335746,0.335746,0.328508
RG042,high,pure,0.0,0.471143,0.057714,0.471143
RG042,high,weighted,0.0152040718,0.319719,0.036517,0.643764
RG042,high,clipped,0.0640051775,0.3355,0.329,0.3355
RG042,medium,pure,-0.0,0.398185,0.20363,0.398185
RG042,medium,weighted,0.0016371237,0.363559,0.181812,0.454628
RG042,medium,clipped,0.0087259941,0.340316,0.319367,0.340316
RG042,low,pure,-0.0,0.349546,0.300907,0.349546
RG042,low,weighted,7.86884e-05,0.343906,0.294577,0.361518
RG042,low,clipped,0.0004416434,0.335746,0.328508,0.335746
RG043,high,pure,0.0,0.471143,0.057714,0.471143
RG043,high,weighted,0.0165958684,0.336568,0.021262,0.64217
RG043,high,clipped,0.0640051775,0.3355,0.329,0.3355
RG043,medium,pure,-0.0,0.398185,0.20363,0.398185
RG043,medium,weighted,0.0029623399,0.378346,0.1566,0.465053
RG043,medium,clipped,0.0087259941,0.340316,0.319367,0.340316
RG043,low,pure,-0.0,0.349546,0.300907,0.349546
RG043,low,weighted,0.0001759889,0.348639,0.286273,0.365088
RG043,low,clipped,0.0004416434,0.335746,0.328508,0.335746
RG044,high,pure,0.0,0.471143,0.471143,0.057714
RG044,high,weighted,0.1389445292,0.056601,0.930382,0.013017
RG044,high,clipped,0.0640051775,0.3355,0.3355,0.329
RG044,medium,pure,-0.0,0.398185,0.398185,0.20363
RG044,medium,weighted,0.0212114599,0.245663,0.600709,0.153628
RG044,medium,clipped,0.0087259941,0.340316,0.340316,0.319367
RG044,low,pure,0.0,0.349546,0.349546,0.300907
RG044,low,weighted,0.0009696142,0.320353,0.391192,0.288455
RG044,low,clipped,0.0004416434,0.335746,0.335746,0.328508
RG045,high,pure,-0.0,0.471143,0.057714,0.471143
RG045,high,weighted,0.0626340086,0.17508,0.018764,0.806156
RG045,high,clipped,0.0640051775,0.3355,0.329,0.3355
RG045,medium,pure,0.0,0.398185,0.20363,0.398185
RG045,medium,weighted,0.007788433,0.320654,0.15713,0.522216
RG045,medium,clipped,0.0087259941,0.340316,0.319367,0.340316
RG045,low,pure,0.0,0.349546,0.300907,0.349546
RG045,low,weighted,0.0003729483,0.336949,0.28731,0.375741
RG045,low,clipped,0.0004416434,0.335746,0.328508,0.335746
RG046,high,pure,0.0,0.057714,0.471143,0.471143
RG046,high,weighted,0.0587147126,0.011098,0.793246,0.195655
RG046,high,clipped,0.0640051775,0.329,0.3355,0.3355
RG046,medium,pure,0.0,0.20363,0.398185,0.398185
RG046,medium,weighted,0.0093045384,0.13494,0.527638,0.337422
RG046,medium,clipped,0.0087259941,0.319367,0.340316,0.340316
RG046,low,pure,-0.0,0.300907,0.349546,0.349546
RG046,low,weighted,0.0005108594,0.279064,0.378456,0.34248
RG046,low,clipped,0.0004416434,0.328508,0.335746,0.335746
RG047,high,pure,0.0,0.057714,0.471143,0.471143
RG047,high,weighted,0.0182346803,0.013296,0.637051,0.349654
RG047,high,clipped,0.0640051775,0.329,0.3355,0.3355
RG047,medium,pure,0.0,0.20363,0.398185,0.398185
RG047,medium,weighted,0.0048550482,0.137315,0.47254,0.390145
RG047,medium,clipped,0.0087259941,0.319367,0.340316,0.340316
RG047,low,pure,-0.0,0.300907,0.349546,0.349546
RG047,low,weighted,0.0003249044,0.279269,0.368078,0.352653
RG047,low,clipped,0.0004416434,0.328508,0.335746,0.335746
RG048,high,pure,0.0,0.057714,0.471143,0.471143
RG048,high,weighted,0.0046312087,0.020987,0.489507,0.489507
RG048,high,clipped,0.0640051775,0.329,0.3355,0.3355
RG048,medium,pure,0.0,0.20363,0.398185,0.398185
RG048,medium,weighted,0.002050161,0.154587,0.422706,0.422706
RG048,medium,clipped,0.0087259941,0.319367,0.340316,0.340316
RG048,low,pure,-0.0,0.300907,0.349546,0.349546
RG048,low,weighted,0.0001453332,0.285387,0.357307,0.357307
RG048,low,clipped,0.0004416434,0.328508,0.335746,0.335746
RG049,high,pure,0.0,0.471143,0.057714,0.471143
RG049,high,weighted,0.0074521436,0.493055,0.01389,0.493055
RG049,high,clipped,0.0640051775,0.3355,0.329,0.3355
RG049,medium,pure,0.0,0.398185,0.20363,0.398185
RG049,medium,weighted,0.0038390061,0.431071,0.137859,0.431071
RG049,medium,clipped,0.0087259941,0.340316,0.319367,0.340316
RG049,low,pure,-0.0,0.349546,0.300907,0.349546
RG049,low,weighted,0.0002830402,0.360343,0.279315,0.360343
RG049,low,clipped,0.0004416434,0.335746,0.328508,0.335746
RG050,high,pure,-0.0,0.057714,0.471143,0.471143
RG050,high,weighted,0.0165958684,0.021262,0.336568,0.64217
RG050,high,clipped,0.0640051775,0.329,0.3355,0.3355
RG050,medium,pure,0.0,0.20363,0.398185,0.398185
RG050,medium,weighted,0.0029623399,0.1566,0.378346,0.465053
RG050,medium,clipped,0.0087259941,0.319367,0.340316,0.340316
RG050,low,pure,-0.0,0.300907,0.349546,0.349546
RG050,low,weighted,0.0001759889,0.286273,0.348639,0.365088
RG050,low,clipped,0.0004416434,0.328508,0.335746,0.335746
